exercise	part	section	fen	turn	solutionSan	solutionUci	solutionText	whitePlayer	blackPlayer	event	year	game	bookPage	pdfPage
854	rules-of-thumb	hard	r1b2b1r/p1q2k1p/4ppn1/2pp3Q/3N1P2/2PB4/PP4PP/R1B1K2R b KQ - 0 1	black	cxd4 Bxg6+ hxg6 Qxh8 dxc3	c5d4 d3g6 h7g6 h5h8 d4c3	15...cxd4! Ignoring White’s threat. 15...Kg7÷ 16.Bxg6+ hxg6 16...Kg7= 17.Qxh8 dxc3–+ For the exchange, Black got a pawn, an offside white queen, and White’s king stuck in the centre. (Castling is met by ...Qb6+ and ...cxb2.) The positional evaluation is that the position is too open to give any chances for White to survive. Tigran Petrosian “Even the most distinguished players have in their careers experienced severe disappointments due to ignorance of the best lines or suspension of their own common sense.”	Bronstein	Petrosian	Leningrad	1960	Bronstein – Petrosian, Leningrad 1960	617	617
855	rules-of-thumb	hard	rn2k2r/p4p2/2p2n1p/1p4p1/3Pp3/q1P2P2/2Q1NBPP/4RK1R w kq - 0 1	white	h4 Qa4 g4 exf3 Nf4+ Kf8 hxg5	h2h4 a3a4 g2g4 e4f3 e2f4 e8f8 h4g5	17.h4! Activating a piece (a positional factor). White makes use of the rook on h1 before deciding how to act in the centre. 17.fxe4 Qa4!÷ 17...gxh4 17...g4 18.fxe4 Qa4 19.Qd2+– The white queen is much stronger compared to the 17.fxe4 line above, as the f4-square and h6-pawn have been weakened by ...g5-g4. 17...exf3? is as bad as it looks. One way: 18.Nf4+ Kf8 19.hxg5+– 18.Bxh4+– Other captures were equally strong.	Botvinnik	Tal	Moscow (7)	1961	Botvinnik – Tal, Moscow (7) 1961	618	618
856	rules-of-thumb	hard	2r2bk1/1b5p/pn3rp1/1ppPpp2/4P3/1PN1BP2/PK2B1PP/2R4R w - - 0 1	white	a4 bxa4 b4 c4	a2a4 b5a4 b3b4 c5c4	22.a4! Taking action on the queenside before Black does it (...c5-c4). 22...bxa4 22...b4 23.Nb1+– leaves White with a great square on c4 and a weak pawn on c5. 23.bxa4+– White will win the b-file.	Botvinnik	Tal	Moscow (13)	1961	Botvinnik – Tal, Moscow (13) 1961	619	619
857	rules-of-thumb	hard	r2q1rk1/pp2bppp/2n1bn2/3pN3/2pP4/2N1B1P1/PP2PPBP/R2Q1RK1 w - - 0 1	white	Nxc4 dxc4 d5 Nxd5 Nxd5	e5c4 d5c4 d4d5 f6d5 c3d5	11.Nxc4! dxc4 12.d5 To avoid getting a weak pawn, Black needs to take on d5. 12...Nxd5 13.Nxd5² White has a powerful knight; and if Black exchanges it, the bishop pair will be strong.	Botvinnik	Unzicker	Oberhausen	1961	Botvinnik – Unzicker, Oberhausen 1961	619	619
858	rules-of-thumb	hard	3rk2r/pp2qppp/2p1p3/3n4/2BPQ3/7P/PPP2PP1/1K1R3R b k - 0 1	black	b5 Bd3 b4	b7b5 c4d3 b5b4	15...b5! Black delays castling to be the first to launch his pawns against the opponent’s king. 15...0- 0= 16.Bd3 No mating threat on h7. 16.Bxd5 gives Black a pleasant choice. 16...cxd5 followed by short castling and advancing the queenside pawns looks promising; as does 16...Rxd5 with pressure on the d-pawn. White will be reluctant to play c2-c3, as this will invite Black to prepare ...b5-b4. 16...b4ƒ Stopping White’s c-pawn from moving. 16...a5 was played in the game.	Fischer	Petrosian	Bled	1961	Fischer – Petrosian, Bled 1961	620	620
859	rules-of-thumb	hard	r4rk1/4bppp/1q1p4/1p1QpP2/4P3/1N6/1PP3PP/R4R1K b - - 0 1	black	Ra4 c3 Qa6	a8a4 c2c3 b6a6	White would be positionally winning with the knight on d5, but it’s too far away. 19...Ra4! Black puts pressure on the e4-pawn and is ready to take control over the a-file. 20.c3 If Black was allowed four free ‘quiet’ moves, they may be ...Rc8, ...Bg5, ...h7-h6 and ...Rcc4. Pursuing a minority attack to open files on the queenside with ...b5-b4 is also in the air. White can’t kick the rook away with the b- pawn, and 20.Rxa4? bxa4 enables Black to pick up the b2-pawn. 20...Qa6 Fischer beat Unzicker after only five more moves. Interestingly, Fischer had already reached the exact same position earlier the same year against Tal, who managed to manoeuvre his knight to d5 while losing a queenside pawn. That was enough to make a draw. Bobby Fischer “The turning point in my career came with the realization that Black should play to win instead of just steering for equality.”	Unzicker	Fischer	Varna (Ol)	1962	Unzicker – Fischer, Varna (Ol) 1962	620	620
860	rules-of-thumb	hard	r1b2rk1/5pb1/1q1p1np1/p1nPp1B1/1p2P1P1/5PN1/PP1Q1NB1/R4RK1 b - - 0 1	black	Nh7 Rfc1 Qd8	f6h7 f1c1 b6d8	19...Nh7! Fighting for the dark squares. After 19...Ba6 20.Rfc1 it was too late for ...Nh7 followed by ...Qd8-h4, not because c5 would be hanging but because White would have time for Bf1 and Kg2 to defend the knight on g3. 20.Be3 Qd8!³ Black follows up with ...Qh4, and then either ...f7-f5 or ...Bf6-g5.	Botvinnik	Penrose	Hastings	1962	Botvinnik – Penrose, Hastings 1962	621	621
861	rules-of-thumb	hard	3q2k1/5b1p/1pr2pp1/p2p4/3P2PP/1P1NQP2/P2R2K1/8 w - - 0 1	white	g5	g4g5	33.g5!± Weakening the e5-square.	Botvinnik	Petrosian	Moscow (14)	1963	Botvinnik – Petrosian, Moscow (14) 1963	622	622
862	rules-of-thumb	hard	3r1rk1/2pn2pp/1p2p2b/p3P2q/2P2p2/1P3NP1/PB2QPKP/3R1R2 w - - 0 1	white	Ba3 g5 h3 c5 Qe4	b2a3 g7g5 h2h3 c7c5 e2e4	23.Ba3! Forcing Black to choose between passivity (...Rfe8, leaving the open file), bad coordination (...Rf7, leaving the d8-rook undefended), or being deprived of the c5-square for the knight while weakening the d6-square (...c7-c5). 23.Qe4 g5 24.Qc6 Nc5„ 23...Rfe8 White is satisfied with the inclusion of the last two moves; no further calculation or evaluation is needed. 23...Rf7 temporarily creates a pin along the d-file. 24.h3+–; 23...c5 24.Qe4+– White follows up with Qc6 and Rd6 to collect material.	Petrosian	Botvinnik	Moscow (19)	1963	Petrosian – Botvinnik, Moscow (19) 1963	622	622
863	rules-of-thumb	hard	r3k2r/pbqnbppp/1p2p3/2ppP3/5B2/2PBPN2/PP3PPP/R2Q1RK1 b kq - 0 1	black	h6 Bh7 O-O-O h4 g6 Qe2 g5 h5 g4 Nd4 cxd4 cxd4 Nb8 Rfc1 Nc6 b4	h7h6 d3h7 e8c8 h2h4 g7g6 d1e2 g6g5 h4h5 g5g4 f3d4 c5d4 c3d4 d7b8 f1c1 b8c6 b2b4	12...h6! Starting an attack by harassing White’s pieces on the kingside. 12...Rg8? 13.Bxh7 is a safe pawn-grab. 12...0-0-0 allows the surprising: 13.h4! h6 (13...g6 is slower than 12...h6. Stockfish gives a surprising line: 14.Qe2 h6 15.Bg3 g5 16.h5 g4 17.Nd4! cxd4 18.cxd4 Nb8 19.Rfc1 Nc6 20.Bb5=) 14.h5! and Black’s g-pawn is halted. 13.b4 13.h4 g5µ 13...g5 14.Bg3 h5µ	Spassky	Petrosian	Moscow (7)	1966	Spassky – Petrosian, Moscow (7) 1966	623	623
864	rules-of-thumb	hard	2b1r1k1/1pqn1pbp/2p2np1/3pp3/1PP5/3P1NP1/2QNPPBP/B4RK1 w - - 0 1	white	cxd5 Nxd5 Rb1 b5 Qb3	c4d5 f6d5 f1b1 b7b5 c2b3	15.cxd5 Not allowing ...e5-e4 or ...d5-d4. White wants to improve the scope of the g2-bishop. 15...Nxd5 16.Rb1² 16.b5 cxb5 17.Qb3² was logical (but not necessarily better).	Petrosian	Najdorf	Santa Monica	1966	Petrosian – Najdorf, Santa Monica 1966	624	624
865	rules-of-thumb	hard	1rbqnrk1/5nbp/pp1p1pp1/2pP4/P1P2B1P/2N3P1/1P1N1PB1/R2QR1K1 b - - 0 1	black	g5 hxg5 Ne5	g6g5 h4g5 f7e5	18...g5! A risky move to force the bishop back and be able to put a knight on e5. As it comes with tempo, Black’s activity is more important than the weakness. 19.hxg5 19.Be3!? was worth considering, although Black still does well with 19...gxh4 20.gxh4 Ne5³ followed by ...Bg4 or ...f6- f5. 19...fxg5µ Opening the diagonal for the g7-bishop.	Najdorf	Petrosian	Santa Monica	1966	Najdorf – Petrosian, Santa Monica 1966	624	624
866	rules-of-thumb	hard	r1bqrbk1/1p1n1ppp/4p3/p3R3/2Pp4/PP1P2P1/1B3PBP/RN1Q2K1 w - - 0 1	white	Rb5 e5	e5b5 e6e5	15.Rb5!÷ The rook is useful (hitting b7 and supporting b3-b4), and the risk that it gets trapped in the future is something White has to accept to play actively. 15.Re1 e5³ The bishop on b2 is misplaced in the reversed Benoni structure.	Tal	Zhuravlev	Kharkov	1967	Tal – Zhuravlev, Kharkov 1967	625	625
867	rules-of-thumb	hard	r4rk1/1bp1qppp/pp1b4/1P1p4/P2Pn3/4PN2/2Q1BPPP/1RB2RK1 b - - 0 1	black	Rfc8	f8c8	16...Rfc8! Intending to open the c-file before White has completed development. White should still be close to equal, but in the game Spassky was unable to tame Petrosian’s initiative. 16...axb5 17.axb5 Rfc8 has the downside that White gets rid of the weak a4-pawn.	Spassky	Petrosian	Moscow (11)	1969	Spassky – Petrosian, Moscow (11) 1969	625	625
868	rules-of-thumb	hard	r2qr1k1/pp1nppbp/2p1b1p1/6B1/3P4/2PB1N1P/PP3PP1/R2QR1K1 w - - 0 1	white	Rxe6 fxe6 Qe2 e5 Bf4 Kh8 dxe5 Qc7 Re1	e1e6 f7e6 d1e2 e6e5 g5f4 g8h8 d4e5 d8c7 a1e1	16.Rxe6! fxe6 Black’s weak light squares and shattered structure are more than enough to compensate for the exchange. The key point is that Black’s rooks have no open files. 17.Qe2 e5 17...Nf8 18.Bf4+– White prepares Bc4 and Ng5. 18.Bc4+ Kh8 19.dxe5 Qc7 20.Re1! Keeping control. It’s hard for Black to do anything against h4-h5, and White is close to winning. 20.Bf7?! was the game move.	Tal	Kolarov	Kapfenberg	1970	Tal – Kolarov, Kapfenberg 1970	626	626
869	rules-of-thumb	hard	r7/pQq1b1pk/2p1pn1p/P3p3/4P3/2N1B2P/2P3P1/1R4K1 b - - 0 1	black	Qxa5 Qxa8 Qxc3 Qxa7 Nxe4 Qxe7 Qxe3+ Kh1 Nf2+ Kh2 Qf4+ Kg1 Nxh3+ gxh3 Qg3+	c7a5 b7a8 a5c3 a8a7 f6e4 a7e7 c3e3 g1h1 e4f2 h1h2 e3f4 h2g1 f2h3 g2h3 f4g3	22...Qxa5! After 22...Qd8 23.a6² it is possible to tactically defend the a7-pawn, but Black is still under some pressure. 23.Qxa8 Qxc3 24.Qxa7 Nxe4 The exchange sacrifice (Petrosian’s trademark) won a few pawns. Black’s pawn structure may not be pretty, but the pawns are still of some value – and more importantly, Black has reached an open position where it’s easy to create threats against the enemy king. Hübner should have gone for: 25.Qxe7 Qxe3+ 26.Kh1 Nf2+ 27.Kh2 Qf4+ 28.Kg1 Black can play on in a position with balanced chances, or go for an immediate draw with: 28...Nxh3+ 29.gxh3 Qg3+	Hübner	Petrosian	Seville (7)	1971	Hübner – Petrosian, Seville (7) 1971	627	627
870	rules-of-thumb	hard	2br1r1k/pp2q2p/2n2n2/b1p1pp2/2Pp3N/PP1P2P1/R2N1PBP/2BQR1K1 w - - 0 1	white	b4 cxb4 Nb3 Bb6 Bxc6 bxc6 axb4	b3b4 c5b4 d2b3 a5b6 g2c6 b7c6 a3b4	22.b4! Positionally, White wants to advance on the queenside, and tactically it is possible. 22...cxb4 23.Nb3 White threatens to win a piece with Bxc6. 23...Bb6 24.Bxc6! Best, but not the only move. 24...bxc6 25.axb4± The pawn can’t be taken and White threatens c4-c5 (winning the a7-pawn).	Petrosian	Korchnoi	Moscow	1971	Petrosian – Korchnoi, Moscow 1971	627	627
871	rules-of-thumb	hard	2r2rk1/1p1qb2p/p2pb1p1/4pp2/4P3/2PQ1B2/PP3PPP/R3RNK1 w - - 0 1	white	exf5 Bd8 Bd5 e4	e4f5 e7d8 f3d5 e5e4	19.exf5 A necessary move to exchange the bishops and avoid Black’s easy kingside expansion. In the game, there followed 19.Ne3?! f4 20.Nd5 Bd8³ when White had a nice square, but not much to do as Black pushed the pawns on the kingside. 19...gxf5 20.Bd5 f4!?² Prophylaxis against Ne3. Due to Black’s restricted bishop, and the weak squares on d5 and e4, White is still better.	Tal	Grigorian	Leningrad	1971	Tal – Grigorian, Leningrad 1971	628	628
872	rules-of-thumb	hard	2q2rk1/p1rn1ppp/1p2pn2/8/Q2P4/2P2N2/P2B1PPP/2RR2K1 b - - 0 1	black	Rc4 Qxa7 Qc6 Qa3 Rc8 Ne5	c7c4 a4a7 c8c6 a7a3 f8c8 f3e5	17...Rc4! The light squares are worth more than the pawn on a7. Putting the rook on c4 stops c3-c4, since it’s difficult for White to challenge the rook with the knight. 17...Ne4 18.c4= 18.Qxa7 Qc6 19.Qa3 Rc8 White can’t do anything active and only hopes to hold on to the extra pawn for as long as possible. It’s not necessary to know how much better Black is. By the way, 20.Ne5?! would be a mistake, as White would be exchanging the last minor piece that can challenge the light squares.	Taimanov	Karpov	Moscow	1973	Taimanov – Karpov, Moscow 1973	629	629
873	rules-of-thumb	hard	r1bq1rk1/1p3pp1/1n1bpn1p/p1p1B3/P2P4/1B3N2/1PP1QPPP/2KR2NR b - - 0 1	black	c4 Bxc4 Nxa4	c5c4 b3c4 b6a4	13...c4! The pawn exchange keeps the d-file closed, and starts to open things up around White’s king. 14.Bxc4 Nxa4µ 14...Nxc4 15.Qxc4 Nd5µ was also possible.	Tal	Petrosian	Moscow	1973	Tal – Petrosian, Moscow 1973	629	629
874	rules-of-thumb	hard	4rrk1/1bq3bp/ppnppn2/5p2/2P2P2/2NB1N1P/PP1B2P1/2R2RQK w - - 0 1	white	Nd5 Qd8 Nxf6+ Rxf6	c3d5 c7d8 d5f6 f8f6	19.Nd5! Qd8 19...exd5? 20.cxd5+– gives Black a ruined pawn structure. 20.Nxf6+! You need to have planned this move to have fully solved the exercise. The game continued 20.Qxb6 Qxb6 21.Nxb6 Ne4 with reasonable compensation for Black. One important detail is that White has to part with a bishop to hold on to the extra pawn. 20...Rxf6² White is happy with the knight exchange. With fewer minor pieces on the board it becomes easier to attack the d6-pawn, and Black no longer has the option of sending the f6-knight via h5 to g3.	Garcia Martinez	Karpov	Madrid	1973	Garcia Martinez – Karpov, Madrid 1973	630	630
875	rules-of-thumb	hard	3rr1k1/pbp1qpp1/1p5p/2P1n3/4p1P1/2Q1B2P/PP2PPB1/1K1R3R b - - 0 1	black	Bd5	b7d5	19...Bd5!ƒ Eyeing the a2-pawn, with ...Qe6 coming next. Closing the d-file also avoids a rook exchange on d8, which would leave the knight on e5 less stable.	Larsen	Petrosian	Milan	1975	Larsen – Petrosian, Milan 1975	631	631
876	rules-of-thumb	hard	r1r5/p2k2bp/1p2ppp1/3n4/8/P2P2P1/1B1NPPKP/2R2R2 b - - 0 1	black	Bh6 e3 Bxe3 fxe3 Nxe3+ Kf3 Nxf1 Nxf1 Rxc1 Bxc1 Rc8	g7h6 e2e3 h6e3 f2e3 d5e3 g2f3 e3f1 d2f1 c8c1 b2c1 a8c8	22...Bh6! 23.e3 Giving up the c-file would be devastating. 23...Bxe3! 24.fxe3 Nxe3+ 25.Kf3 Nxf1 26.Nxf1 White would have liked to keep the rooks, but it loses material. 26...Rxc1 27.Bxc1 Rc8–+ After a small tactical sequence, it’s time to evaluate the position. The two minor pieces are not working together and they can’t stop Black’s rook from invading. It’s over.	Hübner	Karpov	Tilburg	1977	Hübner – Karpov, Tilburg 1977	631	631
877	rules-of-thumb	hard	3r1rk1/3np1bp/pqp3p1/1p1bP3/8/2Q2BB1/PP1N1PPP/R1R3K1 w - - 0 1	white	Bxd5+ cxd5 Nf3	f3d5 c6d5 d2f3	19.Bxd5+ Consider what you get instead of what you have. 19.b4?! is a positional move to keep the c6-pawn backwards, but it fails to achieve its objective after: 19...Bxf3 20.Nxf3 c5! 21.bxc5 Nxc5 Black has equalized, with 22.Qxc5?? Rd1+ the tactical justification. But even if the b2-b4 idea worked, opening the c-file secures a bigger advantage. 19...cxd5 20.Nf3± White can follow up by offering a queen exchange on c6 or c7, or by improving the rooks in some way.	Petrosian	Gulko	Vilnius	1978	Petrosian – Gulko, Vilnius 1978	632	632
878	rules-of-thumb	hard	2rr1k2/1bqnbpp1/pp1p3p/4pP2/Pn2P2P/2N2BP1/1PPR1B2/2NRQ2K w - - 0 1	white	Qg1 d5 exd5 Nf6	e1g1 d6d5 e4d5 d7f6	26.Qg1!± A prophylactic move, directed against any central counterplay. White will continue with N1e2 and perhaps b2-b3, before preparing to attack on the kingside. 26.N1e2 d5! 27.exd5 Nf6„ is the key idea which Karpov’s move prevents. Anatoly Karpov “My studies with Botvinnik brought me immense benefit, particularly the homework assignments which forced me to refer to chess books and to work independently.”	Karpov	Bukic	Bugojno	1978	Karpov – Bukic, Bugojno 1978	633	633
879	rules-of-thumb	hard	4rrk1/1b1nq1bp/pp1pp1p1/2p2P2/2PP4/P1N2NPP/1P2QRPK/1B3R2 b - - 0 1	black	exf5 d5 Qe6 Qxe6+ Rxe6	e6f5 d4d5 e7e6 e2e6 e8e6	20...exf5!µ With the strong bishop on g7 and control over the e-file, Black stands much better. 20...gxf5? 21.d5=; 20...cxd4 21.Qxe6+ Qxe6 22.fxe6 Nc5 23.Nd5 Rxe6µ is promising for Black, but not to the same extent as the main move.	Spassky	Karpov	Montreal	1979	Spassky – Karpov, Montreal 1979	634	634
880	rules-of-thumb	hard	3rr1k1/1b2ppbp/1qp1nnp1/p7/P1QP4/1P3BNP/1BP2PP1/R3R1K1 w - - 0 1	white	Rxe6 fxe6 Qxe6+ Kh8	e1e6 f7e6 c4e6 g8h8	17.Rxe6! fxe6 18.Qxe6+ Kh8² For the exchange, White has a pawn, the bishop pair and weak light squares to exploit. Karpov won convincingly.	Karpov	Larsen	Tilburg	1979	Karpov – Larsen, Tilburg 1979	634	634
881	rules-of-thumb	hard	r3rk2/1p3p1p/2p2bp1/p1n1p3/2P1P3/5N2/PP3PPP/2KRRB2 b - - 0 1	black	Bd8 g3 a4 Kc2 Ba5 Re3 Rad8	f6d8 g2g3 a5a4 c1c2 d8a5 e1e3 a8d8	17...Bd8 Manoeuvring to an open diagonal. (It’s also possible to postpone it a move or two.) 18.g3 a4 19.Kc2 Ba5 20.Re3 Rad8 Taking control over the d-file increased Black’s pressure, and Kasparov soon won.	Danailov	Kasparov	Dortmund	1980	Danailov – Kasparov, Dortmund 1980	635	635
882	rules-of-thumb	hard	1r3rk1/p1pqn1bp/2npb1p1/1p1Npp2/2P2P2/3PP1PP/PP1QN1BK/1RB2R2 b - - 0 1	black	bxc4 e4 fxe4 dxc4	b5c4 e3e4 f5e4 d3c4	14...bxc4! Preparing Black’s next move. 14...e4 15.dxe4 fxe4 leads to balanced play after a few possible continuations. 15.dxc4 e4³ The bishop on g2 is restricted. To add to White’s difficulties, Black threatens ...Bxd5 followed by ...Nb4.	Ribli	Karpov	Tilburg	1980	Ribli – Karpov, Tilburg 1980	635	635
883	rules-of-thumb	hard	2b1kb1r/5p2/pr1ppqpp/8/1pBNPP2/8/PPPQ2PP/2KR3R w k - 0 1	white	Bb3 Bd7 Ba4 a5 e5 Qd8 Bb5 Bg7 a4 Bc6	c4b3 c8d7 b3a4 a6a5 e4e5 f6d8 a4b5 f8g7 a2a4 d7c6	16.Bb3! Planning Ba4+. 16...Bd7 16...Bg7 17.Ba4+± 17.Nf3 Clearing the d-file, with ideas of e4-e5. 17...a5 Black must keep the bishop on f8 to defend the d6-pawn. 17...Bg7? 18.e5+– 18.Ne5!? 18.Qe3 Qd8 19.Qd4 is another way to try to develop an initiative. 18...Bb5? Black had a narrow path to a playable position: 18...Bg7! 19.Nc4 a4! 20.e5 Qd8 21.Nxb6 axb3 22.Qxd6 bxa2 23.Kd2 Bc6 24.Qxd8+ Kxd8 25.Ra1 Kc7 26.Nc4 Ra8 The bishop pair gives decent compensation. 19.Ng4 Qg7 Otherwise Qd4 with a double threat. 20.e5+– Black’s position collapses after Qd4 and/or Nf6+.	Tal	Radulov	Malta (Ol)	1980	Tal – Radulov, Malta (Ol) 1980	636	636
884	rules-of-thumb	hard	3qr1k1/pp3pp1/1b2b2p/3p4/PQ1NnB2/4PN1P/1PR2PP1/6K1 w - - 0 1	white	Nxe6 fxe6 a5 Bxa5 Qxb7	d4e6 f7e6 a4a5 b6a5 b4b7	22.Nxe6! Otherwise the bishop might move. 22...fxe6 22...Rxe6 23.a5! Bxa5 24.Qxb7+– with threats of Rc8 and Qxa7. 23.a5 Exchanging pawns makes it easier to exploit Black’s weaknesses. 23.Be5± 23...Bxa5 24.Qxb7±	Karpov	Beliavsky	Moscow	1981	Karpov – Beliavsky, Moscow 1981	637	637
885	rules-of-thumb	hard	rq3rk1/5pbp/pn1p1np1/NbpP4/4PB2/5NP1/RPQ2PBP/4R1K1 w - - 0 1	white	Nc6 Bxc6 Qxc5 Nh5 e5	a5c6 b5c6 c2c5 f6h5 e4e5	22.Nc6! Starting to open up the light-squared diagonal. 22...Bxc6 22...Qc7 23.Qxc5!+– 23.dxc6 There’s no good way to defend against e4-e5. 23...Nh5 23...Rc8 24.e5+– 24.Bd2+– e4-e5 comes next.	Karpov	Ljubojevic	Amsterdam	1981	Karpov – Ljubojevic, Amsterdam 1981	637	637
886	rules-of-thumb	hard	2r1r1k1/p2nq1pp/1pbppn2/2p2p2/2PP4/PPQNPP2/1B1RB1PP/1R4K1 w - - 0 1	white	dxc5 e5 e4 bxc5	d4c5 e6e5 e3e4 b6c5	23.dxc5! 23.Rbd1 allows 23...cxd4! opening the c-file. 24.exd4² (24.Qxd4 e5 25.Qc3 e4! splits White’s pawns.) 23...bxc5± With a pawn on c5, it’s more difficult for Black to advance with the d- or e-pawns without getting a weak pawn. The Hedgehog set-up (with a pawn on b6 instead) is more solid. After 23...dxc5± Black regrets ...f7-f5. The bishop on b2 is strong.	Petrosian	Bronstein	Kislovodsk	1982	Petrosian – Bronstein, Kislovodsk 1982	638	638
887	rules-of-thumb	hard	rnbqr1k1/pp2bppp/3p1n2/2pP4/6P1/2P1NP2/PP2N2P/R1BQKB1R b KQ - 0 1	black	Nfd7 g5 b5 Ng3 Bxg5 Kf2 Ne5	f6d7 g4g5 b7b5 e2g3 e7g5 e1f2 d7e5	14...Nfd7! Preparing to deploy the bishop on g5 or h4. Black has less space and is generally happy to exchange minor pieces. 14...Nbd7 15.Ng3±; 14...b5 is not a big achievement without a white knight on c3. 15.Ng3± 15.Ng3 Bg5! 16.Kf2 Ne5÷	Van der Wiel	Kasparov	Moscow	1982	Van der Wiel – Kasparov, Moscow 1982	638	638
888	rules-of-thumb	hard	r3k2r/p1qnbpp1/1pb1p2p/2p5/3PP3/P1PB1N2/2Q2PPP/R1BR2K1 w kq - 0 1	white	d5 exd5 exd5 Bxd5 Bb5 a6 Qe4 Rd8 Bxd7+ Qxd7 c4 Bxe4 Rd5	d4d5 e6d5 e4d5 c6d5 d3b5 a7a6 c2e4 a8d8 b5d7 c7d7 c3c4 d5e4 d1d5	14.d5! Opening the position before Black has castled. 14...exd5 15.exd5 Bxd5 16.Bb5 a6 16...Be6 17.Qe4 and the bishop on e7 makes it impossible for Black to castle. 17...Rd8 (17...0-0 18.Bxd7 Bxd7 19.Qxe7+–) 18.Bf4 Qc8 19.Ne5+– 17.Bf4! 17.Rxd5?! axb5 18.Qe2 gives White a promising position but is still far less convincing than Kasparov’s move. White should avoid 17.Bxd7+? Qxd7 18.c4? because of: 18...Be4!–+ 17...Qxf4 18.Bxd7+ Kxd7 19.Rxd5++– Black’s king is too exposed and White continues to develop with tempo.	Kasparov	Gheorghiu	Moscow	1982	Kasparov – Gheorghiu, Moscow 1982	639	639
889	rules-of-thumb	hard	r4rk1/3nppbp/bq1p1np1/1NpP4/P3P3/5N2/1PQBBPPP/R3K2R b KQ - 0 1	black	Bxb5 Bxb5 Qxb5 axb5 Rxa1+ Bc1 Nxe4 O-O	a6b5 e2b5 b6b5 a4b5 a8a1 d2c1 f6e4 e1g1	Securing a minor piece on b5 (with a2-a4) is White’s best set-up in Benko positions. Black needs to act before White has castled, and there is a good option. 14...Bxb5 15.Bxb5 Qxb5! 16.axb5 Rxa1+ 17.Bc1 Nxe4 17...Bh6? leads nowhere after: 18.0-0 18.0-0 Nef6© Black has only a knight and a rook for the queen, but there are also some weak pawns to attack. Most importantly, Black’s position is solid and well-coordinated, so the queen is unable to show her full power.	Alburt	Kasparov	Lucerne (Ol)	1982	Alburt – Kasparov, Lucerne (Ol) 1982	640	640
890	rules-of-thumb	hard	2b2rk1/p1r1b2p/2p3p1/P1P1pp2/1R2P3/3BB3/2P3PP/1R4K1 b - - 0 1	black	f4 g3 g5	f5f4 g2g3 g6g5	22...f4! 22...Kg7 or any other slow move allows 23.exf5 gxf5 24.g3² when White benefits from the opening of the position due to the more active bishops. A possible plan is doubling rooks on a8 and b8, followed by some tactics with Rxc8 and Bxf5. 23.Bf2 g5= White has no effective plan of invasion; however, Black’s pawn majority is also not too dangerous.	Bouaziz	Karpov	Hannover	1983	Bouaziz – Karpov, Hannover 1983	640	640
891	rules-of-thumb	hard	r4nk1/pp1brppp/2p4q/3p4/3P1P2/P1NBP3/1P3QPP/4RRK1 w - - 0 1	white	f5 Bxf5	f4f5 d7f5	18.f5!± Extending the f-file for the queen and the rook. Next comes e3-e4, with great pressure. 18.e4?! dxe4 19.Nxe4?! threatens f4-f5, but 19...Bf5!³ is a convincing answer.	Petrosian	Beliavsky	Moscow	1983	Petrosian – Beliavsky, Moscow 1983	641	641
892	rules-of-thumb	hard	r3r1k1/1pqn1pbp/p2p2p1/3P4/1RP5/4B3/P3BPPP/3Q1RK1 b - - 0 1	black	Rxe3 fxe3	e8e3 f2e3	19...Rxe3! 20.fxe3³ The opposite-coloured bishops make the exchange sacrifice strong. There will be so many weak dark squares, with ...Re8, ...Bh6, ...Nc5 and ...Qe7 as possible moves. Petrosian made all those (in another order) and then won after a blunder.	Polugaevsky	Petrosian	Moscow	1983	Polugaevsky – Petrosian, Moscow 1983	642	642
893	rules-of-thumb	hard	r1bq1rk1/ppp3pp/3pp3/n1P2p2/3Pn3/2P2NP1/P1Q1PPBP/R1B2RK1 w - - 0 1	white	c4 Nd2 Rd1 b6 Nxd2 d5 Ba3	c3c4 e4d2 f1d1 b7b6 f3d2 d6d5 c1a3	11.c4! Playing actively before Black is ready to settle on c4. Nd2 may be the next move to challenge the e4-knight (when ...d6-d5 can be met by c4xd5). 11.Rd1 b6=; 11.Nd2 Nxd2 12.Bxd2 d5=; 11.Bf4 Nc4= 11...b6 11...dxc5 12.Ba3² 12.Bd2! 12.Nd2² is good but the text move is even better. 12...Nxd2 13.Nxd2 d5 14.cxd5 exd5 15.e3± Black is left with a bad bishop.	Kasparov	Karpov	Moscow (19)	1985	Kasparov – Karpov, Moscow (19) 1985	642	642
894	rules-of-thumb	hard	r2q1r2/pp3pkp/2b1pnp1/3p4/3P1Q2/2N3P1/PP2PPBP/2RR2K1 b - - 0 1	black	Qb8 Rd2 a6 Nb5 Qc7 Qxc7	d8b8 d1d2 a7a6 c3b5 b8c7 f4c7	18...Qb8!= Challenging White’s best piece. Other moves are not so bad, but they allow White to double up on the c-file, with chances to get an edge. For example: 18...Rc8 19.Rd2 a6 Otherwise White has Nb5 after an exchange of queens on c7. 20.Rdc2 Qc7 21.Qxc7 Rxc7 22.Na4²	Karpov	Kasparov	London/Leningrad (3)	1986	Karpov – Kasparov, London/Leningrad (3) 1986	643	643
